=== walk-register-group4-rescope-2026-08-10.md ===
blob: ef2fa9e43a04ec2a08941ae2f9774b714bbd8b07
--- stderr ---
walk-register-group4-rescope-2026-08-10.md	PRE-SCHEMA	shapes: | # | sub-q | finding | fold | ; | # | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold | ; | # | sub-q | finding | fold |

--- stdout (header + 130 data rows) ---
file	line	table	row_status	file_status	columns	missing	note
walk-register-group4-rescope-2026-08-10.md	13	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	14	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	15	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	16	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	17	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	18	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	19	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	20	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	21	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	22	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	23	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	24	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	25	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
walk-register-group4-rescope-2026-08-10.md	26	1	WARN	PRE-SCHEMA	| # | sub-q | finding | fold |	id,walk,lens,sub_question,origin,pre_fold_text,resolution	wrong_shape
